Ken Ellacott,1983,1983,12,,2,3,4,41,,,,4.43,0,555,,,,,,0,0,0,0,0.0,0.0,1.1,1.1
Brian Elliott,2008,2015,278,251,140,90,26,620,7041,6421,.912,2.44,30,15265,138,.550,47,,,0,6,6,0,0.0,0.0,42.1,42.1
Dan Ellis,2004,2015,211,177,87,78,18,522,5551,5029,.906,2.78,15,11247,85,.480,42,,,0,6,6,6,0.0,0.0,30.2,30.2
Ray Emery,2003,2015,285,153,145,85,27,693,7380,6687,.906,2.71,16,15364,78,.510,25,,,0,4,4,79,0.0,0.0,42.0,42.0
Jhonas Enroth,2010,2015,125,110,39,61,14,343,3730,3387,.908,2.95,4,6985,58,.527,17,,,0,0,0,2,0.0,0.0,20.0,20.0
Chad Erickson,1992,1992,2,,1,1,0,9,55,46,.836,4.50,0,120,,,,,,0,0,0,0,0.0,0.0,0.1,0.1
Joacim Eriksson,2014,2014,1,0,,,,6,31,25,.806,10.00,0,36,0,,0,,,0,0,0,0,0.0,0.0,-0.2,-0.2
Erik Ersberg,2008,2010,53,45,18,19,10,120,1337,1217,.910,2.55,2,2827,23,.511,7,,,0,0,0,2,0.0,0.0,8.3,8.3
Robert Esche,1999,2007,186,,78,64,22,464,4616,4152,.899,2.75,10,10139,,,,,,0,8,8,65,0.0,0.0,24.9,24.9
Tony Esposito*,1969,1984,886,,423,306,151,2563,622,534,.859,2.92,76,52585,,,,,,0,25,25,31,0.0,0.0,178.9,178.9
Bob Essensa,1989,2002,446,,173,176,47,1270,12105,10835,.895,3.15,18,24215,,,,,,0,15,15,26,0.0,0.0,68.7,68.7
Claude Evans,1955,1958,5,,1,2,1,16,,,,3.69,0,260,,,,,,0,0,0,0,0.0,0.0,0.2,0.2
Randy Exelby,1989,1990,2,,0,1,0,5,31,26,.839,4.76,0,63,,,,,,0,0,0,0,0.0,0.0,0.1,0.1
Scott Fankhouser,2000,2001,23,,4,12,2,65,611,546,.894,3.31,0,1180,,,,,,0,0,0,6,0.0,0.0,3.0,3.0
Rocky Farr,1973,1975,19,,2,6,3,42,,,,3.49,0,722,,,,,,0,0,0,2,0.0,0.0,1.7,1.7
Viktor Fasth,2013,2015,63,59,26,26,7,161,1682,1521,.904,2.79,4,3465,29,.492,14,,,0,0,0,0,0.0,0.0,8.4,8.4
